=== NQL SDK RAM SNAPSHOT 001 ===
timestamp=2026-04-13 15:22:41.050
WorkingSet=6315.1 MB
PeakWorkingSet=6320.1 MB
PrivateBytes=6348.8 MB
PagefileUsage=6348.8 MB
PeakPagefile=6360.9 MB
VRAM_Local=215.9 MB  (discrete GPU memory in use)
VRAM_Shared=0.0 MB  (system RAM used by GPU for non-local resources)
TextureArray_Est=3.44 MB  (block+font atlas, RGBA8 no mips, 881 layers)
ResidentChunks=335


[RAM: per-chunk breakdown — all values are CPU RAM unless noted]
SLOT   CX     CZ     SCX    SCZ    ROLE | BLK_KB   CMESH_KB   UPLOAD_KB SUB_KB   SIM_KB  CONS_KB  TOTAL_KB 
278    -13    1      -1     0      WALL | 1544     0          0         13583    512     0        15639    
279    -14    1      -1     0      WALL | 1544     0          0         13503    512     0        15559    
280    1      -1     0      -1     WALL | 2784     0          0         26547    512     0        29843    
281    1      -10    0      -1     WALL | 2208     0          0         18520    512     0        21240    
282    -15    1      -1     0      WALL | 1544     0          0         13592    512     0        15648    
283    1      -11    0      -1     WALL | 2184     0          0         18208    512     0        20904    
284    -16    1      -1     0      WALL | 1544     0          0         15558    512     0        17614    
285    1      -12    0      -1     WALL | 2128     0          0         17856    512     0        20496    
286    -17    1      -1     0      WALL | 4096     0          0         6438     512     0        11046    
287    1      -13    0      -1     WALL | 2168     0          0         17943    512     0        20623    
288    1      -14    0      -1     WALL | 2136     0          0         17808    512     0        20456    
289    -18    -3     -2     -1     WALL | 1544     0          0         13899    512     0        15955    
290    1      -15    0      -1     WALL | 2120     0          0         17657    512     0        20289    
291    -18    -4     -2     -1     WALL | 1544     0          0         14043    512     0        16099    
292    1      -16    0      -1     WALL | 2096     0          0         20617    512     0        23225    
293    -18    -2     -2     -1     WALL | 1544     0          0         13755    512     0        15811    
294    -18    -5     -2     -1     WALL | 1544     0          0         14072    512     0        16128    
295    -18    -1     -2     -1     WALL | 1544     0          0         15681    512     0        17737    
296    -18    -7     -2     -1     WALL | 1544     0          0         13092    512     0        15148    
297    -18    -8     -2     -1     WALL | 1544     0          0         12708    512     0        14764    
298    -18    -6     -2     -1     WALL | 1544     0          0         14078    512     0        16134    
299    -18    0      -2     0      WALL | 4096     0          0         6433     512     0        11041    
300    1      -17    0      -1     WALL | 4096     0          0         6438     512     0        11046    
301    -18    -9     -2     -1     WALL | 1544     0          0         13223    512     0        15279    
302    -4     -18    -1     -2     WALL | 2136     0          0         17760    512     0        20408    
303    -5     -18    -1     -2     WALL | 2144     0          0         17828    512     0        20484    
304    -3     -18    -1     -2     WALL | 2128     0          0         17717    512     0        20357    
305    -7     -18    -1     -2     WALL | 2112     0          0         17650    512     0        20274    
306    0      -18    0      -2     WALL | 4096     0          0         6433     512     0        11041    
307    -2     -18    -1     -2     WALL | 2120     0          0         17627    512     0        20259    
308    -18    -10    -2     -1     WALL | 1560     0          0         13906    512     0        15978    
309    -6     -18    -1     -2     WALL | 2128     0          0         17815    512     0        20455    
310    -1     -18    -1     -2     WALL | 2104     0          0         20711    512     0        23327    
311    -18    -11    -2     -1     WALL | 1672     0          0         14613    512     0        16797    
312    -8     -18    -1     -2     WALL | 2104     0          0         17508    512     0        20124    
313    -9     -18    -1     -2     WALL | 2136     0          0         17690    512     0        20338    
314    -11    -18    -1     -2     WALL | 2128     0          0         17727    512     0        20367    
